f_Hz amplitude error
0.000000 0.009358 0.020000
2.500000 0.010185 0.020125
5.000000 0.010911 0.020250
7.500000 0.011427 0.020375
10.000000 0.011669 0.020500
12.500000 0.011664 0.020625
15.000000 0.011478 0.020750
17.500000 0.011143 0.020875
20.000000 0.010652 0.021000
22.500000 0.010038 0.021125
25.000000 0.009414 0.021250
27.500000 0.008895 0.021375
30.000000 0.008537 0.021500
32.500000 0.008289 0.021625
35.000000 0.007943 0.021750
37.500000 0.007327 0.021875
40.000000 0.006585 0.022000
42.500000 0.005905 0.022125
45.000000 0.005341 0.022250
47.500000 0.004880 0.022375
50.000000 0.004498 0.022500
52.500000 0.004176 0.022625
55.000000 0.003902 0.022750
57.500000 0.003663 0.022875
60.000000 0.003455 0.023000
62.500000 0.003270 0.023125
65.000000 0.003104 0.023250
67.500000 0.002956 0.023375
70.000000 0.002821 0.023500
72.500000 0.002699 0.023625
75.000000 0.002587 0.023750
77.500000 0.002484 0.023875
80.000000 0.002389 0.024000
82.500000 0.002302 0.024125
85.000000 0.002221 0.024250
87.500000 0.002145 0.024375
90.000000 0.002074 0.024500
92.500000 0.002008 0.024625
95.000000 0.001946 0.024750
97.500000 0.001888 0.024875
100.000000 0.001833 0.025000
102.500000 0.001782 0.025125
105.000000 0.001733 0.025250
107.500000 0.001687 0.025375
110.000000 0.001643 0.025500
112.500000 0.001602 0.025625
115.000000 0.001562 0.025750
117.500000 0.001525 0.025875
120.000000 0.001489 0.026000
122.500000 0.001455 0.026125
125.000000 0.001422 0.026250
127.500000 0.001391 0.026375
130.000000 0.001361 0.026500
132.500000 0.001333 0.026625
135.000000 0.001305 0.026750
137.500000 0.001279 0.026875
140.000000 0.001254 0.027000
142.500000 0.001229 0.027125
145.000000 0.001206 0.027250
147.500000 0.001184 0.027375
150.000000 0.001162 0.027500
152.500000 0.001141 0.027625
155.000000 0.001121 0.027750
157.500000 0.001102 0.027875
160.000000 0.001083 0.028000
162.500000 0.001065 0.028125
165.000000 0.001047 0.028250
167.500000 0.001030 0.028375
170.000000 0.001014 0.028500
172.500000 0.000998 0.028625
175.000000 0.000982 0.028750
177.500000 0.000967 0.028875
180.000000 0.000953 0.029000
182.500000 0.000939 0.029125
185.000000 0.000925 0.029250
187.500000 0.000912 0.029375
190.000000 0.000899 0.029500
192.500000 0.000887 0.029625
195.000000 0.000874 0.029750
197.500000 0.000862 0.029875
200.000000 0.000851 0.030000
202.500000 0.000840 0.030125
205.000000 0.000829 0.030250
207.500000 0.000818 0.030375
210.000000 0.000808 0.030500
212.500000 0.000798 0.030625
215.000000 0.000788 0.030750
217.500000 0.000778 0.030875
220.000000 0.000769 0.031000
222.500000 0.000760 0.031125
225.000000 0.000751 0.031250
227.500000 0.000742 0.031375
230.000000 0.000733 0.031500
232.500000 0.000725 0.031625
235.000000 0.000717 0.031750
237.500000 0.000709 0.031875
240.000000 0.000701 0.032000
242.500000 0.000693 0.032125
245.000000 0.000686 0.032250
247.500000 0.000679 0.032375
250.000000 0.000671 0.032500
252.500000 0.000664 0.032625
255.000000 0.000658 0.032750
257.500000 0.000651 0.032875
260.000000 0.000644 0.033000
262.500000 0.000638 0.033125
265.000000 0.000631 0.033250
267.500000 0.000625 0.033375
270.000000 0.000619 0.033500
272.500000 0.000613 0.033625
275.000000 0.000607 0.033750
277.500000 0.000602 0.033875
280.000000 0.000596 0.034000
282.500000 0.000590 0.034125
285.000000 0.000585 0.034250
287.500000 0.000580 0.034375
290.000000 0.000574 0.034500
292.500000 0.000569 0.034625
295.000000 0.000564 0.034750
297.500000 0.000559 0.034875
300.000000 0.000554 0.035000
302.500000 0.000550 0.035125
305.000000 0.000545 0.035250
307.500000 0.000540 0.035375
310.000000 0.000536 0.035500
312.500000 0.000531 0.035625
315.000000 0.000527 0.035750
317.500000 0.000523 0.035875
320.000000 0.000518 0.036000
322.500000 0.000514 0.036125
325.000000 0.000510 0.036250
327.500000 0.000506 0.036375
330.000000 0.000502 0.036500
332.500000 0.000498 0.036625
335.000000 0.000494 0.036750
337.500000 0.000490 0.036875
340.000000 0.000487 0.037000
342.500000 0.000483 0.037125
345.000000 0.000479 0.037250
347.500000 0.000476 0.037375
350.000000 0.000472 0.037500
352.500000 0.000469 0.037625
355.000000 0.000465 0.037750
357.500000 0.000462 0.037875
360.000000 0.000459 0.038000
362.500000 0.000455 0.038125
365.000000 0.000452 0.038250
367.500000 0.000449 0.038375
370.000000 0.000446 0.038500
372.500000 0.000443 0.038625
375.000000 0.000440 0.038750
377.500000 0.000437 0.038875
380.000000 0.000434 0.039000
382.500000 0.000431 0.039125
385.000000 0.000428 0.039250
387.500000 0.000425 0.039375
390.000000 0.000422 0.039500
392.500000 0.000419 0.039625
395.000000 0.000417 0.039750
